timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
2024-10-20T23:01:36.556Z,26623435589.0,2.833,2.833,,,
2024-11-06T23:01:32.712Z,26520046509.0,3.217,3.217,,,
2024-09-27T23:01:51.348Z,26516820363.0,3.233,3.233,,,
2024-08-12T23:02:22.259Z,26396528905.0,2.987,2.987,,,
2024-08-26T23:01:13.750Z,26268489415.0,2.731,2.731,,,
2025-02-23T23:01:33.617Z,26257774676.0,2.737,2.737,,,
2024-09-28T23:02:11.515Z,26222189293.0,2.968,2.968,,,
2025-02-05T23:01:28.214Z,26206613015.0,3.032,3.032,,,
2024-10-21T23:02:34.998Z,26137349445.0,2.835,2.835,,,
2024-08-18T23:01:32.669Z,26064274337.0,2.759,2.759,,,
2025-02-22T23:01:22.569Z,26019595555.0,3.013,3.013,,,
2024-09-24T23:01:20.845Z,25992362970.0,3.209,3.209,,,
2024-09-29T23:01:40.652Z,25985543935.0,2.877,2.877,,,
2024-08-08T23:01:25.167Z,25962923466.0,3.074,3.074,,,
2024-10-30T23:01:34.216Z,25931084451.0,2.994,2.994,,,
2024-08-14T23:01:40.207Z,25897682010.0,2.951,2.951,,,
2024-09-26T23:02:08.909Z,25882496914.0,3.124,3.124,,,
2024-08-21T23:02:04.404Z,25879206560.0,2.779,2.779,,,
2024-09-23T23:01:47.871Z,25844049999.0,3.19,3.19,,,
2025-02-17T23:01:27.472Z,25831733442.0,2.765,2.765,,,
2024-10-19T23:02:05.884Z,25788468831.0,2.894,2.894,,,
2025-02-12T23:01:21.437Z,25781716831.0,2.813,2.813,,,
2024-10-18T23:02:03.611Z,25758078603.0,2.975,2.975,,,
2024-08-22T23:01:09.802Z,25747953553.0,2.949,2.949,,,
2024-08-19T23:01:34.440Z,25744523870.0,2.778,2.778,,,
2024-10-22T23:01:26.473Z,25719663412.0,2.974,2.974,,,
2024-10-14T23:02:03.246Z,25707294338.0,3.183,3.183,,,
2025-02-20T23:02:22.479Z,25696853697.0,2.722,2.722,,,
2024-08-17T23:01:15.243Z,25662766301.0,2.741,2.741,,,
2024-10-29T23:01:31.185Z,25646894445.0,2.946,2.946,,,
2024-10-16T23:01:56.962Z,25637911080.0,3.018,3.018,,,
2024-08-10T23:03:01.873Z,25611210981.0,2.918,2.918,,,
2024-09-30T23:01:34.125Z,25560791739.0,2.959,2.959,,,
2024-08-16T23:01:25.175Z,25556007698.0,2.921,2.921,,,
2025-02-14T23:01:25.513Z,25546959431.0,2.851,2.851,,,
2024-08-09T23:01:15.869Z,25538757180.0,3.078,3.078,,,
2025-02-04T23:01:19.367Z,25531413448.0,3.31,3.31,,,
2025-02-19T23:02:35.686Z,25502091882.0,2.785,2.785,,,
2024-02-12T23:01:27.739Z,25451982026.0,3.352,3.352,,,
2024-02-13T23:02:20.800Z,25424531525.0,4.275,4.275,,,
2024-08-11T23:02:20.781Z,25419838600.0,2.75,2.75,,,
2024-10-17T23:01:56.420Z,25414333486.0,2.977,2.977,,,
2024-10-15T23:01:30.853Z,25389227061.0,3.08,3.08,,,
2024-08-20T23:01:26.634Z,25377600560.0,2.866,2.866,,,
2025-02-06T23:01:16.243Z,25330796824.0,2.817,2.817,,,
2025-02-15T23:01:39.187Z,25265227220.0,2.688,2.688,,,
2024-09-25T23:01:41.893Z,25223942683.0,3.171,3.171,,,
2024-08-15T23:01:03.777Z,25184241819.0,2.998,2.998,,,
2024-09-22T23:01:12.265Z,25130250992.0,3.173,3.173,,,
2025-02-16T23:01:43.971Z,25119239869.0,2.65,2.65,,,
2025-02-13T23:01:40.905Z,25070054895.0,2.956,2.956,,,
2025-02-10T23:01:15.690Z,25060988395.0,2.857,2.857,,,
2024-10-28T23:01:37.676Z,25058243871.0,2.769,2.769,,,
2025-02-18T23:01:27.694Z,25052336028.0,2.944,2.944,,,
2024-09-21T23:01:54.666Z,25005163960.0,3.302,3.302,,,
2025-02-21T23:01:35.477Z,24939857710.0,2.739,2.739,,,
2024-09-02T23:01:35.824Z,24914851835.0,2.751,2.751,,,
2024-09-20T23:01:22.408Z,24874676396.0,3.278,3.278,,,
2024-10-24T23:01:24.736Z,24782171015.0,2.95,2.95,,,
2025-02-08T23:01:23.757Z,24749917962.0,2.848,2.848,,,
2024-08-29T23:01:23.515Z,24748840465.0,2.773,2.773,,,
2024-08-30T23:03:23.800Z,24711796261.0,2.88,2.88,,,
2024-08-28T23:01:13.730Z,24701735332.0,3.13,3.13,,,
2024-08-31T23:01:15.942Z,24648430075.0,2.683,2.683,,,
2024-10-31T23:01:26.571Z,24561133828.0,2.916,2.916,,,
2025-02-09T23:01:17.381Z,24559063187.0,2.706,2.706,,,
2024-10-27T23:01:09.867Z,24534483012.0,2.818,2.818,,,
2024-11-01T23:01:54.378Z,24459410999.0,3.176,3.176,,,
2024-08-06T23:01:24.661Z,24430382356.0,3.574,3.574,,,
2024-10-23T23:01:25.427Z,24426217585.0,2.934,2.934,,,
2024-01-11T23:12:09.831Z,24326480765.0,3.9,3.9,,,
2024-11-02T23:01:16.934Z,24323422289.0,2.836,2.836,,,
2025-02-07T23:01:18.952Z,24275250806.0,2.922,2.922,,,
2025-02-11T23:01:24.950Z,24260932113.0,2.807,2.807,,,
2024-01-16T23:01:55.624Z,24254117547.0,3.6,3.6,,,
2024-10-26T23:02:01.582Z,24204811508.0,2.925,2.925,,,
2024-09-04T23:02:24.883Z,24164509872.0,2.906,2.906,,,
2024-10-12T22:01:28.480Z,24129105261.0,3.062,3.062,,,
2024-09-03T23:01:28.135Z,24087711312.0,2.972,2.972,,,
2024-10-01T23:01:25.324Z,24082372334.0,3.025,3.025,,,
