date,totalLiquidityUSD
2024-10-13 00:00:00,5813708020.81463
2024-10-14 00:00:00,5789246435.87554
2024-10-15 00:00:00,6031782305.96736
2024-10-16 00:00:00,5946524793.75357
2024-10-17 00:00:00,5930492145.36498
2024-10-18 00:00:00,5832964929.21897
2024-10-19 00:00:00,5970012762.71522
2024-10-20 00:00:00,5982107754.37255
2024-10-21 00:00:00,6118664088.5768
2024-10-22 00:00:00,5927832271.77092
2024-10-23 00:00:00,5777476006.94738
2024-10-24 00:00:00,5529085483.63317
2024-10-25 00:00:00,5416941225.28391
2024-10-26 00:00:00,5055612162.96454
2024-10-27 00:00:00,5094851742.09746
2024-10-28 00:00:00,5169280876.79911
2024-10-29 00:00:00,5244479246.88926
2024-10-30 00:00:00,5350407452.18536
2024-10-31 00:00:00,5367883118.58428
2024-11-01 00:00:00,5039528274.44928
2024-11-02 00:00:00,5198420034.9397
2024-11-03 00:00:00,5175781236.81223
2024-11-04 00:00:00,5152047860.09764
2024-11-05 00:00:00,5044859389.13496
2024-11-06 00:00:00,5125116410.12784
2024-11-07 00:00:00,5632456479.63591
2024-11-08 00:00:00,5800915136.59833
2024-11-09 00:00:00,5941470516.96275
2024-11-10 00:00:00,6217112653.46964
2024-11-11 00:00:00,6331358240.95693
2024-11-12 00:00:00,6421608167.67603
2024-11-13 00:00:00,5944210724.48728
2024-11-14 00:00:00,5980461749.41802
2024-11-15 00:00:00,5740721710.69095
2024-11-16 00:00:00,6039518229.70027
2024-11-17 00:00:00,6170787855.74007
2024-11-18 00:00:00,6074931820.01956
2024-11-19 00:00:00,6138027507.97242
2024-11-20 00:00:00,6114330476.17267
2024-11-21 00:00:00,5957201514.93149
2024-11-22 00:00:00,6383914531.89433
2024-11-23 00:00:00,6288090673.60218
2024-11-24 00:00:00,6524699281.0493
2024-11-25 00:00:00,6461076680.37381
2024-11-26 00:00:00,6348860824.91556
2024-11-27 00:00:00,6118251882.84495
2024-11-28 00:00:00,6775319571.80733
2024-11-29 00:00:00,6655892609.17973
2024-11-30 00:00:00,6626494104.7166
2024-12-01 00:00:00,6873268745.3562
2024-12-02 00:00:00,6852832935.73901
2024-12-03 00:00:00,6632939818.23145
2024-12-04 00:00:00,6524325267.30831
2024-12-05 00:00:00,6798935143.02116
2024-12-06 00:00:00,6669299651.39596
2024-12-07 00:00:00,6961537647.02129
2024-12-08 00:00:00,6974117944.72082
2024-12-09 00:00:00,6767063695.04723
2024-12-10 00:00:00,6223691989.89732
2024-12-11 00:00:00,6253975855.55817
2024-12-12 00:00:00,6705922405.39417
2024-12-13 00:00:00,6788531186.57947
2024-12-14 00:00:00,6979046527.88954
2024-12-15 00:00:00,6977577411.51132
2024-12-16 00:00:00,7085242059.14338
2024-12-17 00:00:00,7132372596.61399
2024-12-18 00:00:00,6975960392.28204
2024-12-19 00:00:00,6546925647.86776
2024-12-20 00:00:00,6260867747.921
2024-12-21 00:00:00,6371030937.43408
2024-12-22 00:00:00,6361750346.25397
2024-12-23 00:00:00,6347249180.65701
2024-12-24 00:00:00,6552940444.44527
2024-12-25 00:00:00,6764106920.55124
2024-12-26 00:00:00,6797764981.77486
2024-12-27 00:00:00,6531440833.80337
2024-12-28 00:00:00,6566861424.16051
